text,category,source
"Octopuses have three hearts and blue blood.",animals,"Marine Biology Research"
"A group of flamingos is called a 'flamboyance'.",animals,"Ornithology Studies"
"Elephants can recognize themselves in mirrors.",animals,"Animal Cognition Research"
"Dolphins have names for each other.",animals,"Marine Mammal Studies"
"Honeybees can see ultraviolet light.",animals,"Entomology Research"
"Penguins propose to their mates with pebbles.",animals,"Antarctic Wildlife Studies"
"Cats have a third eyelid called a nictitating membrane.",animals,"Veterinary Science"
"Sharks have been around longer than trees.",animals,"Paleontology Research"
"A shrimp's heart is in its head.",animals,"Marine Biology"
"Butterflies taste with their feet.",animals,"Insect Biology"
"The Great Wall of China took over 2,000 years to build.",history,"Historical Archives"
"Cleopatra lived closer in time to the Moon landing than to the construction of the Great Pyramid.",history,"Timeline Analysis"
"The shortest war in history lasted only 38-45 minutes.",history,"Military History"
"Napoleon was actually average height for his time.",history,"Historical Records"
"The ancient Romans used urine as mouthwash.",history,"Roman History"
"Vikings never actually wore horned helmets.",history,"Archaeological Evidence"
"The first computer bug was an actual bug.",history,"Computer History"
"Ancient Egyptians used moldy bread as medicine.",history,"Medical History"
"The Eiffel Tower was originally intended to be temporary.",history,"Architectural History"
"Bubble wrap was originally invented as wallpaper.",history,"Invention History"
"The Library of Alexandria was gradually declined rather than destroyed in a single event.",history,"Ancient History"
"Julius Caesar was kidnapped by pirates and later crucified them.",history,"Roman Biography"
"The first person to survive going over Niagara Falls in a barrel was a 63-year-old teacher.",history,"Adventure History"
"Benjamin Franklin wanted the turkey to be America's national bird.",history,"American History"
"A day on Venus is longer than its year.",space,"NASA Research"
"There are more possible games of chess than atoms in the observable universe.",space,"Astrophysics"
"Jupiter's Great Red Spot is a storm larger than Earth.",space,"Planetary Science"
"Saturn would float in water if there was a bathtub big enough.",space,"Planetary Physics"
"The Sun makes up 99.86% of the Solar System's mass.",space,"Solar Physics"
"Neutron stars are so dense that a teaspoon would weigh 6 billion tons.",space,"Stellar Physics"
"The Milky Way galaxy is on a collision course with Andromeda.",space,"Galactic Astronomy"
"There's a planet made entirely of diamond.",space,"Exoplanet Research"
"The footprints on the Moon will last millions of years.",space,"Lunar Science"
"Space is completely silent because there's no air to carry sound.",space,"Space Physics"
"The International Space Station travels at 17,500 mph.",space,"Space Engineering"
"Mars has the largest volcano in the solar system.",space,"Planetary Geology"
"The coldest place in the universe is on Earth in a laboratory.",space,"Cryogenics"
"Light from the Sun takes 8 minutes and 20 seconds to reach Earth.",space,"Solar Physics"
"Your body produces 25 million new cells every second.",biology,"Cell Biology"
"Humans share 60% of their DNA with bananas.",biology,"Genetics Research"
"The human brain uses 20% of the body's total energy.",biology,"Neuroscience"
"Your stomach gets an entirely new lining every 3-5 days.",biology,"Gastroenterology"
"Humans are the only animals that blush.",biology,"Evolutionary Biology"
"Your heart beats about 100,000 times per day.",biology,"Cardiology"
"The human eye can distinguish about 10 million colors.",biology,"Vision Science"
"Fingernails grow faster than toenails.",biology,"Dermatology"
"The human body contains about 37.2 trillion cells.",biology,"Cell Biology"
"Your brain is about 75% water.",biology,"Neuroscience"
"Humans can survive longer without food than without sleep.",biology,"Physiology"
"The liver can regenerate itself completely.",biology,"Hepatology"
"Human bones are stronger than steel by weight.",biology,"Orthopedics"
"The human nose can detect over 1 trillion different scents.",biology,"Olfactory Science"
"Your body produces about 1.5 liters of saliva daily.",biology,"Physiology"
"The word 'set' has the most different meanings in English.",language,"Linguistics Research"
"There are over 7,000 languages spoken in the world today.",language,"Linguistic Diversity"
"The longest word in English has 189,819 letters.",language,"Lexicography"
"Shakespeare invented over 1,700 words.",language,"Literary History"
"The most translated book is the Bible.",language,"Translation Studies"
"Sign languages are full languages with their own grammar.",language,"Sign Language Research"
"The word 'alphabet' comes from the first two Greek letters.",language,"Etymology"
"Some languages have no words for left and right.",language,"Linguistic Anthropology"
"The dot over a lowercase 'i' or 'j' is called a tittle.",language,"Typography"
"English has borrowed words from over 350 languages.",language,"Historical Linguistics"
"The shortest complete sentence in English is 'Go!'",language,"Grammar Studies"
"There are languages with only a few hundred speakers left.",language,"Endangered Languages"
"Some languages read from right to left.",language,"Writing Systems"
"Honey never spoils - archaeologists have found edible honey in ancient Egyptian tombs.",food,"Food Science"
"Bananas are berries, but strawberries aren't.",food,"Botanical Classification"
"Chocolate was once used as currency.",food,"Culinary History"
"The most expensive spice in the world is saffron.",food,"Spice Trade"
"Carrots were originally purple.",food,"Agricultural History"
"Peanuts aren't nuts - they're legumes.",food,"Botany"
"The hottest part of a chili pepper is not the seeds but the white pith.",food,"Food Chemistry"
"Vanilla is the second most expensive spice after saffron.",food,"Spice Economics"
"Tomatoes were once thought to be poisonous.",food,"Food History"
"The fear of cooking is called mageirocophobia.",food,"Psychology"
"Apples float because they're 25% air.",food,"Food Physics"
"The world's most consumed beverage after water is tea.",food,"Beverage Statistics"
"Lobsters were once considered poor people's food.",food,"Culinary History"
"Russia spans 11 time zones.",geography,"World Geography"
"The Pacific Ocean is larger than all land masses combined.",geography,"Oceanography"
"Antarctica is the world's largest desert.",geography,"Climate Geography"
"The Dead Sea is actually a lake.",geography,"Physical Geography"
"Mount Everest grows about 4mm taller each year.",geography,"Geology"
"The Amazon River is longer than the distance from New York to Rome.",geography,"River Geography"
"Australia is wider than the Moon.",geography,"Comparative Geography"
"The Sahara Desert is expanding.",geography,"Climate Change"
"There are more trees on Earth than stars in the Milky Way.",geography,"Forestry Statistics"
"The deepest point on Earth is the Mariana Trench.",geography,"Ocean Geography"
"Africa is splitting into two continents.",geography,"Plate Tectonics"
"The shortest place name is 'Y' in France.",geography,"Place Names"
"Canada has more lakes than the rest of the world combined.",geography,"Hydrology"
"The equator passes through 13 countries.",geography,"Political Geography"
"Greenland is closer to North America than Europe.",geography,"Continental Geography"
"Water can exist in three states simultaneously at its triple point.",science,"Physics"
"A single bolt of lightning contains enough energy to toast 100,000 slices of bread.",science,"Meteorology"
"Diamonds can be made from peanut butter.",science,"Materials Science"
"The human body glows in the dark, but the light is too weak to see.",science,"Bioluminescence"
"Hot water freezes faster than cold water under certain conditions.",science,"Thermodynamics"
"Glass is actually a liquid, not a solid.",science,"Materials Science"
"The speed of light is exactly 299,792,458 meters per second.",science,"Physics Constants"
"Absolute zero is -273.15°C or -459.67°F.",science,"Thermodynamics"
"Sound travels faster through solids than through air.",science,"Acoustics"
"The Earth's core is as hot as the Sun's surface.",science,"Geophysics"
"Magnets have two poles that cannot be separated.",science,"Magnetism"
"Time moves slower in stronger gravitational fields.",science,"Relativity"
"The smallest unit of matter that retains chemical properties is an atom.",science,"Chemistry"
"Energy cannot be created or destroyed, only transformed.",science,"Thermodynamics"
"Light behaves as both a wave and a particle.",science,"Quantum Physics"
"In Japan, it's considered rude to blow your nose in public.",culture,"Cultural Studies"
"The number 4 is considered unlucky in many East Asian cultures.",culture,"Cultural Beliefs"
"In some cultures, pointing with your index finger is considered rude.",culture,"Social Etiquette"
"The concept of personal space varies greatly between cultures.",culture,"Anthropology"
"Some cultures have no concept of exact time.",culture,"Cultural Anthropology"
"In Tibet, sticking out your tongue is a greeting.",culture,"Cultural Practices"
"The color white is associated with mourning in some cultures.",culture,"Cultural Symbolism"
"Some cultures believe that taking photos steals your soul.",culture,"Cultural Beliefs"
"In some places, it's polite to burp after a meal.",culture,"Dining Etiquette"
"The concept of privacy varies dramatically across cultures.",culture,"Social Anthropology"
"The longest recorded flight of a chicken is 13 seconds.",records,"Guinness World Records"
"The world's oldest known living tree is over 5,000 years old.",records,"Botanical Records"
"The fastest recorded sneeze traveled at 100 mph.",records,"Human Body Records"
"The largest snowflake ever recorded was 15 inches wide.",records,"Weather Records"
"The deepest a human has ever dived without equipment is 831 feet.",records,"Human Achievement"
"The longest hiccuping fit lasted 68 years.",records,"Medical Records"
"The most lightning strikes survived by one person is 7.",records,"Survival Records"
"The oldest message in a bottle was found after 132 years.",records,"Maritime Records"
"The largest hailstone ever recorded weighed nearly 2 pounds.",records,"Weather Extremes"
"The fastest land animal can reach 70 mph.",records,"Animal Records"
"The loudest sound ever recorded was the Krakatoa volcanic eruption.",records,"Sound Records"
"The highest temperature ever recorded on Earth was 134°F.",records,"Climate Records"
"The wheel was invented around 3500 BCE.",inventions,"History of Technology"
"The printing press was invented in 1440.",inventions,"Communication History"
"The telephone was invented in 1876.",inventions,"Telecommunications"
"The light bulb was perfected in 1879.",inventions,"Electrical Engineering"
"The airplane was invented in 1903.",inventions,"Aviation History"
"The television was invented in the 1920s.",inventions,"Broadcasting Technology"
"The computer was developed in the 1940s.",inventions,"Computing History"
"The internet was created in the 1960s-70s.",inventions,"Information Technology"
"The mobile phone was invented in 1973.",inventions,"Mobile Technology"
"The World Wide Web was invented in 1989.",inventions,"Internet History"
"Velcro was inspired by burr seeds sticking to dog fur.",inventions,"Biomimicry"
"The microwave oven was invented by accident.",inventions,"Accidental Discoveries"
"Post-it Notes were created from a failed adhesive experiment.",inventions,"Serendipitous Inventions"
"The pacemaker was invented after a mistake in building a heart rhythm recorder.",inventions,"Medical Technology"
"Super Glue was discovered by accident twice.",inventions,"Chemical Discoveries"
"A soccer ball has 32 panels.",sports,"Sports Equipment"
"Basketball was invented using peach baskets.",sports,"Sports History"
"The Olympic Games were first held in ancient Greece in 776 BCE.",sports,"Olympic History"
"Golf balls have dimples to help them fly farther.",sports,"Sports Physics"
"The fastest recorded tennis serve was 163.7 mph.",sports,"Tennis Records"
"A marathon is exactly 26.2 miles long.",sports,"Running Sports"
"The Super Bowl is the most watched TV event in the US.",sports,"Sports Broadcasting"
"Soccer is the most popular sport in the world.",sports,"Global Sports"
"The first modern Olympics had only 43 events.",sports,"Olympic History"
"Baseball's 'seventh-inning stretch' tradition started in 1910.",sports,"Baseball History"
"The Stanley Cup is the oldest professional sports trophy.",sports,"Hockey History"
"Swimming is one of the few sports that uses almost every muscle.",sports,"Sports Science"
"The Tour de France covers about 2,200 miles.",sports,"Cycling Sports"
"Boxing matches were originally fought bare-knuckled.",sports,"Combat Sports"
"The first computer took up an entire room.",tech,"Computer History"
"The first email was sent in 1971.",tech,"Internet History"
"The first website is still online today.",tech,"Web History"
"Google processes over 8.5 billion searches per day.",tech,"Search Technology"
"The first iPhone was released in 2007.",tech,"Mobile Technology"
"There are more mobile phones than people on Earth.",tech,"Mobile Statistics"
"The first video uploaded to YouTube was 'Me at the zoo'.",tech,"Social Media History"
"Facebook was originally called 'The Facebook'.",tech,"Social Media"
"The first computer virus was created in 1971.",tech,"Cybersecurity"
"WiFi stands for nothing - it's not an acronym.",tech,"Technology Terms"
"The '@' symbol was used in emails for the first time in 1971.",tech,"Communication Technology"
"Bluetooth is named after a 10th-century Danish king.",tech,"Technology Naming"
"The first banner ad had a 44% click-through rate.",tech,"Digital Advertising"
"Moore's Law states that computer processing power doubles every two years.",tech,"Technology Trends"
"The first smartphone was released in 1992.",tech,"Mobile History"
"The 21st century began on January 1, 2001, not 2000.",21st-century,"Calendar Systems"
"9/11 changed air travel security forever.",21st-century,"Security History"
"The Human Genome Project was completed in 2003.",21st-century,"Scientific Achievements"
"Facebook was founded in 2004.",21st-century,"Social Media"
"YouTube was created in 2005.",21st-century,"Digital Platforms"
"The iPhone revolutionized smartphones in 2007.",21st-century,"Technology"
"The 2008 financial crisis was the worst since the Great Depression.",21st-century,"Economic History"
"Barack Obama was the first African American US President (2009).",21st-century,"Political History"
"The Arab Spring began in 2010.",21st-century,"Political Movements"
"Osama bin Laden was killed in 2011.",21st-century,"Military History"
"The COVID-19 pandemic began in 2019.",21st-century,"Health History"
