text,category,source,tags
"The African gray parrot is known for its high innate intelligence and can learn over 100 words and 50 sentences, showcasing its remarkable cognitive abilities.","animals","Britannica","intelligence;birds;cognitive abilities"
"Crows are masterful mimics and can be trained to count aloud up to 7, demonstrating their advanced problem-solving skills.","animals","Britannica","intelligence;birds;problem solving"
"Ravens are intelligent birds that can save items for use as tools or for barter, highlighting their strategic thinking.","animals","Britannica","intelligence;birds;tools;strategy"
"The bottlenose dolphin has the longest social memory of any nonhuman species, with individuals recognizing each other after decades of separation.","animals","Britannica","dolphins;memory;social behavior"
"The Amazon rainforest, home to countless animal species, is the world's largest rainforest, covering about 5.5 million square kilometers.","animals","National Geographic Kids","rainforest;habitat;biodiversity"
"The Romanov family, the last imperial rulers of Russia, were brutally murdered in 1918, marking the end of the Romanov dynasty and the Russian Empire.","history","World History Encyclopedia","russia;dynasty;revolution"
"The Great Wall of China, one of the world's most iconic structures, was built over centuries, with its earliest sections dating back to the 7th century BC.","history","Britannica","china;architecture;ancient"
"Cleopatra, the last active ruler of the Ptolemaic Kingdom of Egypt, was not Egyptian by birth but of Macedonian descent, and she ruled from 51 to 30 BC.","history","Britannica","egypt;rulers;ancient"
"The Library of Alexandria, one of the largest and most significant libraries of the ancient world, was founded in the 3rd century BC and housed hundreds of thousands of scrolls.","history","Britannica","egypt;library;ancient;knowledge"
"The Rosetta Stone, discovered in 1799, was key to deciphering Egyptian hieroglyphs, as it contained the same text in three scripts: hieroglyphic, demotic, and Greek.","history","Britannica","egypt;archaeology;language;discovery"
"The Sun is 400 times larger than the Moon, but it is also 400 times farther away, making both objects appear roughly the same size in our sky.","space","Astronomy.com","sun;moon;perspective;astronomy"
"Neptune's moon Triton is the coldest known object in the solar system, with an average surface temperature of -391°F (-235°C).","space","Astronomy.com","neptune;moons;temperature;extreme"
"The International Space Station (ISS) orbits Earth at an average speed of 17,500 miles per hour (28,000 km/h), completing an orbit every 90 minutes.","space","NASA","iss;orbit;speed;earth"
"The Voyager 1 spacecraft, launched in 1977, became the first human-made object to enter interstellar space in 2012, traveling beyond the heliosphere.","space","NASA","voyager;interstellar;exploration;milestone"
"The Great Red Spot on Jupiter, a massive storm, has been raging for at least 150 years and is so large that it could swallow Earth whole.","space","NASA","jupiter;storm;weather;planets"
"Virtually all human diseases have a genetic component, except perhaps trauma, highlighting the role of genetics in health.","biology","NCBI Bookshelf","genetics;disease;health;human"
"The human genome comprises about 3 billion base pairs, with approximately 0.1% genetic variation between individuals, equating to about 6 million base pair differences.","biology","NCBI Bookshelf","genetics;genome;dna;variation"
"The longest time breath held voluntarily is 24 minutes and 37.36 seconds, achieved by Budimir Šobat in 2021, showcasing the limits of human physiology.","biology","Guinness World Records","breathing;physiology;records;human"
"The human body is made up of approximately 37 trillion cells, each containing the same DNA, yet they perform vastly different functions.","biology","Britannica","cells;dna;human body;biology"
"The concept of 'junk DNA' has been challenged, as recent research shows that much of what was once considered non-coding DNA plays crucial roles in gene regulation.","biology","Nature","dna;genetics;research;discovery"
"The word 'fork' comes from the Latin 'furca,' meaning 'pitchfork,' and was once considered immoral and unhygienic in Europe before being reintroduced.","languages","Smithsonian Magazine","etymology;utensils;latin;history"
"Chopsticks, predating the fork by 4,500 years, were first used in China and are still a primary eating utensil in many Asian cultures.","languages","Smithsonian Magazine","chopsticks;utensils;china;culture"
"The Proto-Sinaitic script, one of the earliest alphabets, was adapted from Egyptian hieroglyphs around 1800 BC and influenced the development of many modern alphabets.","languages","Britannica","writing;alphabet;ancient;egypt"
"Esperanto, an invented language created by L.L. Zamenhof in 1887, was designed to foster international understanding and is still spoken by thousands today.","languages","Britannica","esperanto;constructed language;communication;international"
"The word 'alphabet' itself comes from the first two letters of the Greek alphabet, 'alpha' and 'beta,' reflecting the ancient origins of writing systems.","languages","Britannica","alphabet;greek;etymology;writing"
"The croissant, often associated with France, actually originated in Austria as the 'kipferl,' a crescent-shaped pastry.","food","Britannica","croissant;pastry;austria;france"
"The first recorded use of chopsticks dates back to China around 1200 BC, making them one of the oldest utensils still in use today.","food","Britannica","chopsticks;utensils;china;ancient"
"The modern pizza, as we know it, originated in Naples, Italy, in the 18th century, with the Margherita pizza created in 1889 to honor Queen Margherita of Savoy.","food","Britannica","pizza;italy;naples;history"
"The world's most expensive spice, saffron, comes from the Crocus sativus flower and requires the hand-picking of thousands of flowers to produce just one pound.","food","Britannica","saffron;spices;expensive;flowers"
"The first recorded recipe for ketchup dates back to China in the 17th century, where it was made from pickled fish and soybeans.","food","Britannica","ketchup;china;condiments;history"
"Brazil is the largest country in South America and the fifth largest nation in the world, covering an area of 3,286,470 square miles (8,511,965 square kilometers).","geography","Britannica","brazil;south america;size;countries"
"The Amazon River, the world's largest by volume, carries more water than the next seven largest rivers combined and is home to over 3,000 species of fish.","geography","National Geographic Kids","amazon river;rivers;volume;biodiversity"
"The Great Barrier Reef, the world's largest coral reef system, stretches over 1,400 miles (2,300 km) along Australia's northeastern coast.","geography","National Geographic Kids","great barrier reef;coral;australia;marine"
"Mount Everest, the highest mountain above sea level, stands at 29,032 feet (8,848 meters) and is located in the Himalayas on the border of Nepal and Tibet.","geography","National Geographic Kids","mount everest;mountains;himalayas;height"
"The Grand Canyon in the United States, carved by the Colorado River over millions of years, is up to 18 miles (29 km) wide and 1 mile (1.6 km) deep.","geography","National Geographic Kids","grand canyon;usa;colorado river;erosion"
"The first digital computers were invented in the 1940s, with the ENIAC (Electronic Numerical Integrator and Computer) being one of the earliest, completed in 1945.","science","Britannica","computers;eniac;1940s;digital"
"The transistor, invented in 1947 by Bell Labs engineers, revolutionized electronics by replacing bulky vacuum tubes, leading to the development of modern computers.","science","Britannica","transistor;bell labs;electronics;innovation"
